text_it	text_en	hash	text_it_length	text_en_length
Oggi sono andato all'acquario.	I went to the aquarium today.	ff3cd1d6-42e8-543d-a184-a167106427cc	30	29
È un'antica leggenda.	It's an ancient legend.	02ff012e-56b5-5555-8323-1aca19947aa9	21	23
È magro come un chiodo.	He's as thin as a rake.	f92e01c8-22fa-54dc-b2a0-735747b342e7	23	23
Mi dispiace di averla offesa.	I'm sorry to have offended you.	bff33076-3515-5545-b847-c4072a9676eb	29	31
Se ti sei offeso mi dispiace.	If you were offended, I'm sorry.	a482a55c-9681-51ee-8c15-7762a6886296	29	32
Quando lo vidi, restai senza fiato.	When I saw him, I was breathless.	0abd3a31-3678-5b7d-bc6e-e2a73981e126	35	33
Lasciai correre, per il momento.	I let it go for the time being.	1143e96e-1e4b-5b4b-bb83-410abfada369	32	31
Posso contare su Tom?	Can I count on Tom?	646da8f8-c646-5c0e-bff0-6cb7c5635212	21	19
Dove tiene i tuoi conti e le tue carte?	Where do you keep your accounts and papers?	0cc4102c-4bc6-5b32-8a0a-c070c58543ce	39	43
Sai che mi piace la vita all'aria aperta.	You know that I like the outdoors.	b78ad5d4-7aaf-554d-bd7e-a289d19429ab	41	34
Mary non è riuscita a finire la sua cena.	Mary couldn't finish her dinner.	14aec934-7ebc-52fc-ae27-45edef0acad4	41	32
Mary non riuscì a finire la sua cena.	Mary couldn't finish her dinner.	ff0075df-88f9-5a1b-ac3d-1bb69cf5d214	37	32
Mary non riusciva a finire la sua cena.	Mary couldn't finish her dinner.	c5344032-c9ef-5232-9dc3-2f7fee4dfaf0	39	32
Sei così giovane, non hai esperienza.	You're so young, you have no experience.	f5317f50-5e25-55ae-8c63-307c52c1e6c4	37	40
Le sue parole mi irritarono, ma aveva ragione.	His words irritated me but he was right.	3fffcf71-2819-58b2-b6c1-4413a0f3c636	46	40
Tom aveva fame, ma Mary no.	Tom was hungry, but Mary wasn't.	636eab25-04a8-5667-af89-d90d3ef0e85c	27	32
Tom aveva fame, però Mary no.	Tom was hungry, but Mary wasn't.	f74863d1-f818-5dcc-863a-6b8b0772f480	29	32
Tom era affamato, ma Mary no.	Tom was hungry, but Mary wasn't.	e8119408-91b4-5363-a9be-1feba84754dd	29	32
Tom era affamato, però Mary no.	Tom was hungry, but Mary wasn't.	363029c0-a471-5f47-8abc-a63478a6f5ed	31	32
