term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
camera,True,camera,room,"home,travel",feminine,singular,none,,,,base lemma,Prenoto camera doppia.,I book a double room.
una camera,False,camera,a room,"home,travel",feminine,singular,indefinite,una,una,,,Cerco una camera silenziosa.,I'm looking for a quiet room.
la camera,False,camera,the room,"home,travel",feminine,singular,definite,la,la,,,La camera è luminosa.,The room is bright.
camere,False,camera,rooms,"home,travel",feminine,plural,none,,,,plural form,Camere libere stanotte.,Rooms available tonight.
le camere,False,camera,the rooms,"home,travel",feminine,plural,definite,le,le,,,Le camere sono pulite.,The rooms are clean.
delle camere,False,camera,some rooms,"home,travel",feminine,plural,articulated_preposition,le,delle,di,,Abbiamo delle camere libere.,We have some available rooms.
della camera,False,camera,of the room,"home,travel",feminine,singular,articulated_preposition,la,della,di,,La chiave della camera è qui.,The room's key is here.
alla camera,False,camera,to the room,"home,travel",feminine,singular,articulated_preposition,la,alla,a,,Vado alla camera ora.,I'm going to the room now.
alle camere,False,camera,to the rooms,"home,travel",feminine,plural,articulated_preposition,le,alle,a,,Accesso alle camere al primo piano.,Access to the rooms on the first floor.
dalla camera,False,camera,from the room,"home,travel",feminine,singular,articulated_preposition,la,dalla,da,,Esco dalla camera.,I leave the room.
dalle camere,False,camera,from the rooms,"home,travel",feminine,plural,articulated_preposition,le,dalle,da,,Rumori dalle camere vicine.,Noises from the nearby rooms.
nella camera,False,camera,in the room,"home,travel",feminine,singular,articulated_preposition,la,nella,in,,C'è luce nella camera.,There is light in the room.
nelle camere,False,camera,in the rooms,"home,travel",feminine,plural,articulated_preposition,le,nelle,in,,Ventilatori nelle camere.,Fans in the rooms.
sulla camera,False,camera,on the room,"home,travel",feminine,singular,articulated_preposition,la,sulla,su,,Nota sulla camera 12.,A note about room 12.
sulle camere,False,camera,on the rooms,"home,travel",feminine,plural,articulated_preposition,le,sulle,su,,Commenti sulle camere.,Comments on the rooms.
con la camera,False,camera,with the room,"home,travel",feminine,singular,articulated_preposition,la,con la,con,,Pago con la camera inclusa.,I pay with the room included.
con le camere,False,camera,with the rooms,"home,travel",feminine,plural,articulated_preposition,le,con le,con,,Lavoro con le camere deluxe.,I work with the deluxe rooms.
