term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,pronunciation
uscire,True,uscire,to go out,verb,to go out,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,base infinitive; irregular present stem 'esc-'; past participle 'uscito' agrees in gender and number,Voglio uscire adesso.,I want to go out now.,oo-SHEE-reh
uscendo,False,uscire,to go out,verb,going out,"core,verb",,,,,gerund,,False,False,False,,,,,,Sto uscendo adesso.,I am going out now.,oo-SHEHN-doh
uscito,False,uscire,to go out,verb,gone out,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,"past participle, masculine singular",È uscito presto.,He went out early.,oo-SHEE-toh
uscita,False,uscire,to go out,verb,gone out,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,"past participle, feminine singular",È uscita presto.,She went out early.,oo-SHEE-tah
usciti,False,uscire,to go out,verb,gone out,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,"past participle, masculine plural",Sono usciti tardi.,They went out late.,oo-SHEE-tee
uscite,False,uscire,to go out,verb,gone out,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,"past participle, feminine plural",Sono uscite prima.,They went out earlier.,oo-SHEE-teh
esco,False,uscire,to go out,verb,I go out,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,present irregular stem 'esc-',Io esco ogni sera.,I go out every evening.,EH-scoh
esci,False,uscire,to go out,verb,you go out,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu esci troppo tardi.,You go out too late.,EH-shee
esce,False,uscire,to go out,verb,he goes out/she goes out/you (formal) go out,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui esce spesso.,He goes out often.,EH-sheh
usciamo,False,uscire,to go out,verb,we go out,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Noi usciamo insieme.,We go out together.,oo-SHEEAH-moh
uscite,False,uscire,to go out,verb,you (plural) go out,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi uscite stasera?,Are you (plural) going out tonight?,oo-SHEE-teh
escono,False,uscire,to go out,verb,they go out,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Loro escono domani.,They go out tomorrow.,eh-SCOH-noh
uscivo,False,uscire,to go out,verb,I was going out,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io uscivo ogni mattina.,I was going out every morning.,oo-SHEE-voh
uscivi,False,uscire,to go out,verb,you were going out,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu uscivi spesso.,You were going out often.,oo-SHEE-vee
usciva,False,uscire,to go out,verb,he was going out/she was going out/you (formal) were going out,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei usciva tardi.,She used to go out late.,oo-SHEE-vah
uscivamo,False,uscire,to go out,verb,we were going out,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi uscivamo insieme.,We used to go out together.,oo-shee-VAH-moh
uscivate,False,uscire,to go out,verb,you (plural) were going out,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi uscivate sempre.,You (plural) were always going out.,oo-shee-VAH-teh
uscivano,False,uscire,to go out,verb,they were going out,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro uscivano spesso.,They were going out often.,oo-shee-VAH-noh
uscii,False,uscire,to go out,verb,I went out,"core,verb",,1s,,singular,indicative,passato remoto,False,False,False,,,,,,Io uscii quella sera.,I went out that evening.,OO-sheeee
uscisti,False,uscire,to go out,verb,you went out,"core,verb",,2s,,singular,indicative,passato remoto,False,False,False,,,,,,Tu uscisti in fretta.,You went out quickly.,oo-SHEE-stee
uscì,False,uscire,to go out,verb,he went out/she went out/you (formal) went out,"core,verb",,3s,,singular,indicative,passato remoto,False,False,False,,,,,also used as formal 'Lei',Lui uscì di corsa.,He went out running.,oo-SHEE
uscimmo,False,uscire,to go out,verb,we went out,"core,verb",,1p,,plural,indicative,passato remoto,False,False,False,,,,,,Noi uscimmo insieme.,We went out together.,oo-SHEEM-moh
usciste,False,uscire,to go out,verb,you (plural) went out,"core,verb",,2p,,plural,indicative,passato remoto,False,False,False,,,,,,Voi usciste ieri sera.,You (plural) went out last night.,oo-SHEE-steh
uscirono,False,uscire,to go out,verb,they went out,"core,verb",,3p,,plural,indicative,passato remoto,False,False,False,,,,,,Loro uscirono subito.,They went out immediately.,oo-shee-ROH-noh
