term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
potere,True,potere,to be able to,verb,to be able to,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,irregular verb; past participle 'potuto'; auxiliary avere,Vorrei potere venire.,I would like to be able to come.
potendo,False,potere,to be able to,verb,being able,"core,verb",,,,,gerund,,False,False,False,,,,,,"Non potendo parlare, ho scritto.","Not being able to speak, I wrote."
potuto,False,potere,to be able to,verb,been able,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; agrees when required; auxiliary avere,L'ho potuto fare.,I was able to do it.
potuta,False,potere,to be able to,verb,been able,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle feminine singular,La valigia? L'ho potuta sollevare.,The suitcase? I was able to lift it.
potuti,False,potere,to be able to,verb,been able,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle masculine plural,Li abbiamo potuti aiutare.,We were able to help them.
potute,False,potere,to be able to,verb,been able,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle feminine plural,Le ho potute usare.,I was able to use them.
posso,False,potere,to be able to,verb,I can,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,present irregular form 'posso',Posso aiutarti?,I can help you.
puoi,False,potere,to be able to,verb,you can,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Puoi venire?,You can come.
può,False,potere,to be able to,verb,he can/she can/you (formal) can,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui può aiutare.,He can help.
possiamo,False,potere,to be able to,verb,we can,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Possiamo andare.,We can go.
potete,False,potere,to be able to,verb,you (plural) can,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi potete entrare.,You (plural) can enter.
possono,False,potere,to be able to,verb,they can,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Loro possono venire.,They can come.
potevo,False,potere,to be able to,verb,I could,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Da bambino potevo correre veloce.,As a child I could run fast.
potevi,False,potere,to be able to,verb,you could,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu potevi farlo prima.,You could have done it earlier.
poteva,False,potere,to be able to,verb,he could/she could/you (formal) could,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei poteva scegliere diversamente.,She could have chosen differently.
potevamo,False,potere,to be able to,verb,we could,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi potevamo vedere il mare.,We could see the sea.
potevate,False,potere,to be able to,verb,you (plural) could,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi potevate venire ieri.,You (plural) could come yesterday.
potevano,False,potere,to be able to,verb,they could,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro potevano aiutare.,They could help.
potessi,False,potere,to be able to,verb,I could (subjunctive),"core,verb",,1s,,singular,subjunctive,imperfect,False,False,False,,,,,,"Se io potessi, lo farei.","If I could, I would do it."
potessi,False,potere,to be able to,verb,you could (subjunctive),"core,verb",,2s,,singular,subjunctive,imperfect,False,False,False,,,,,,"Se tu potessi, cosa faresti?","If you could, what would you do?"
potesse,False,potere,to be able to,verb,he could/she could/you (formal) could (subjunctive),"core,verb",,3s,,singular,subjunctive,imperfect,False,False,False,,,,,also used as formal 'Lei',Spero che lui potesse spiegare.,I hope he could explain.
potessimo,False,potere,to be able to,verb,we could (subjunctive),"core,verb",,1p,,plural,subjunctive,imperfect,False,False,False,,,,,,"Se potessimo, cambieremmo tutto.","If we could, we would change everything."
poteste,False,potere,to be able to,verb,you (plural) might be able to,"core,verb",,2p,,plural,subjunctive,imperfect,False,False,False,,,,,imperfect subjunctive; used in subordinate clauses and contrary-to-fact conditions,"Se poteste venire, sarebbe fantastico.","If you could come, it would be fantastic."
potessero,False,potere,to be able to,verb,they could (subjunctive),"core,verb",,3p,,plural,subjunctive,imperfect,False,False,False,,,,,,"Se loro potessero, aiuterebbero.","If they could, they would help."
ho potuto,False,potere,to be able to,verb,I have been able to,"core,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'potuto',Ho potuto finire il lavoro.,I was able to finish the work.
hai potuto,False,potere,to be able to,verb,you have been able to,"core,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,,Hai potuto trovare le chiavi?,Have you been able to find the keys?
ha potuto,False,potere,to be able to,verb,he has been able to/she has been able to/you (formal) have been able to,"core,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,also used as formal 'Lei',Ha potuto aiutarmi ieri.,He was able to help me yesterday.
abbiamo potuto,False,potere,to be able to,verb,we have been able to,"core,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,,Abbiamo potuto risolvere il problema.,We were able to solve the problem.
avete potuto,False,potere,to be able to,verb,you (plural) have been able to,"core,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,,Avete potuto parlare con lui?,Have you (plural) been able to talk to him?
hanno potuto,False,potere,to be able to,verb,they have been able to,"core,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,,Hanno potuto partecipare alla riunione.,They were able to attend the meeting.
